landmark,x,y,description
10,184,165,"forehead"
6,191,223,"between eyes"
54,85,246,"right ear"
284,279,239,"left ear"
234,82,305,"right cheek"
454,275,302,"left cheek"
2,193,368,"lower nose"
0,190,388,"upper lip"
172,56,420,"right chin"
397,306,415,"left chin"
152,190,448,"lower chin"
