landmark,x,y,description
234,112,764,"right cheek"
454,744,764,"left cheek"
2,430,984,"lower nose"
6,428,750,"between eyes"
0,430,1004,"upper lip"
152,426,1228,"lower chin"
10,426,506,"forehead"
284,624,494,"left ear"
54,180,494,"right ear"
172,176,1088,"right chin"
397,676,1088,"left chin"
